4;33;1;4;52;0905005573;пеяосакхйюмяйне цнясдюпярбеммне ачдфермне кевеамн-опнтхкюйрхвеяйне свпефдемхе "опюбнйсаюмяйюъ свюярйнбюъ анкэмхжю,жемрп ледхжхмяйни пеюахкхрюжхх х бняярюмнбхрекэмни ледхжхмш";пцакос "оса,жлп х бл";86.10;дЕЪРЕКЭМНЯРЭ АНКЭМХВМШУ НПЦЮМХГЮЖХИ
21;10;1;4;49;0919003262;нрдек йскэрспш х жемрпюкхгнбюммни ахакхнревмни яхярелш юдлхмхярпюжхх йюпювюебяйнцн лсмхжхоюкэмнцн пюинмю йюпювюебн-вепйеяяйни пеяосакхйх;нй х жая юйлп;84.11.22;дЕЪРЕКЭМНЯРЭ НПЦЮМНБ ЦНЯСДЮПЯРБЕММНИ БКЮЯРХ ЯСАЗЕЙРНБ пНЯЯХИЯЙНИ тЕДЕПЮЖХХ ОН НЯСЫЕЯРБКЕМХЧ ЯБНХУ ОНКМНЛНВХИ Б ЦНПНДЮУ Х ПЮИНМЮУ
8;3;1;4;54;0905007556;лсмхжхоюкэмне йюгеммне наыенапюгнбюрекэмне свпефдемхе "япедмъъ наыенапюгнбюрекэмюъ ьйнкю ю. бепумхи свйскюм";лйнс "янь ю. бепумхи свйскюм";85.14;нАПЮГНБЮМХЕ ЯПЕДМЕЕ НАЫЕЕ
8;3;1;4;50;0905007683;лсмхжхоюкэмне йюгеммне наыенапюгнбюрекэмне свпефдемхе "япедмъъ наыенапюгнбюрекэмюъ ьйнкю ю. мнбюъ реаепдю";лйнс "янь ю. мнбюъ реаепдю";85.14;нАПЮГНБЮМХЕ ЯПЕДМЕЕ НАЫЕЕ
8;3;1;4;41;0905007690;лсмхжхоюкэмне йюгеммне наыенапюгнбюрекэмне свпефдемхе "япедмъъ наыенапюгнбюрекэмюъ ьйнкю юскю бепумъъ реаепдю";лйнс "янь ю.бепумъъ реаепдю";85.14;нАПЮГНБЮМХЕ ЯПЕДМЕЕ НАЫЕЕ
8;3;1;4;53;0905007725;лсмхжхоюкэмне йюгеммне наыенапюгнбюрекэмне свпефдемхе "япедмъъ наыенапюгнбюрекэмюъ ьйнкю я. йнярю уерюцспнбю";лйнс "янь я. йнярю уерюцспнбю";85.14;нАПЮГНБЮМХЕ ЯПЕДМЕЕ НАЫЕЕ
8;2;1;4;43;0919002029;лсмхжхоюкэмне йюг╗ммне дньйнкэмне напюгнбюрекэмне свпефдемхе "деряйхи яюд "псвеей" юскю дфхмцхпхй";лйднс "д/я "псвеей" юскю дфхмцхпхй";85.11;нАПЮГНБЮМХЕ ДНЬЙНКЭМНЕ
8;2;1;4;49;0905007813;лсмхжхоюкэмне йюг╗ммне дньйнкэмне напюгнбюрекэмне свпефдемхе "деряйхи яюд "гбегднвйю" юскю мхфмъъ реаепдю";лйднс "д/я "гбегднвйю" ю.мхфмъъ реаепдю";85.11;нАПЮГНБЮМХЕ ДНЬЙНКЭМНЕ
21;10;1;4;54;0916001490;сопюбкемхе напюгнбюмхъ,тхгхвеяйни йскэрспш,яонпрю х лнкндефмни онкхрхйх юдлхмхярпюжхх йюпювюебяйнцн лсмхжхоюкэмнцн пюинмю йюпювюебн-вепйеяяйни пеяосакхйх;снтйяло юдлхмхярпюжхх йюпювюебяйнцн лсмхжхоюкэмнцн пюинмю;84.11.3;дЕЪРЕКЭМНЯРЭ НПЦЮМНБ ЛЕЯРМНЦН ЯЮЛНСОПЮБКЕМХЪ ОН СОПЮБКЕМХЧ БНОПНЯЮЛХ НАЫЕЦН УЮПЮЙРЕПЮ
8;3;1;4;45;0905007620;лсмхжхоюкэмне йюг╗ммне наыенапюгнбюрекэмне свпефдемхе "япедмъъ наыенапюгнбюрекэмюъ ьйнкю юскю йюпр- дфспр хлемх слюпю дфюьсебхвю юкхебю";лйнс "янь ю. йюпр- дфспр хлемх с.дф. юкхебю";85.14;нАПЮГНБЮМХЕ ЯПЕДМЕЕ НАЫЕЕ
6;11;1;4;43;0905000092;пеяосакхйюмяйне цнясдюпярбеммне йюгеммне свпефдемхе "йюпювюебяйне кеямхвеярбн";пцйс "йюпювюебяйне кеямхвеярбн";70.22;йНМЯСКЭРХПНБЮМХЕ ОН БНОПНЯЮЛ ЙНЛЛЕПВЕЯЙНИ ДЕЪРЕКЭМНЯРХ Х СОПЮБКЕМХЪ
21;10;1;4;45;0916001690;нрдек гдпюбннупюмемхъ юдлхмхярпюжхх йюпювюебяйнцн лсмхжхоюкэмнцн пюинмю йюпювюебн-вепйеяяйни пеяосакхйх;нрдек гдпюбннупюмемхъ;84.11.3;дЕЪРЕКЭМНЯРЭ НПЦЮМНБ ЛЕЯРМНЦН ЯЮЛНСОПЮБКЕМХЪ ОН СОПЮБКЕМХЧ БНОПНЯЮЛХ НАЫЕЦН УЮПЮЙРЕПЮ
8;3;1;4;51;0905007605;лсмхжхоюкэмне йюгеммне наыенапюгнбюрекэмне свпефдемхе "япедмъъ наыенапюгнбюрекэмюъ ьйнкю оня.мнбши йюпювюи хлемх люцнледю йюгхебхвю щкэйюмнбю";лйнс "янь оня.мнбши йюпювюи хл.л.й.щкэйюмнбю";85.14;нАПЮГНБЮМХЕ ЯПЕДМЕЕ НАЫЕЕ
8;2;1;4;55;0905007210;лсмхжхоюкэмне йюг╗ммне дньйнкэмне напюгнбюрекэмне свпефдемхе "деряйхи яюд "янкмшьйн" юскю услюпю";лйднс "деряйхи яюд "янкмшьйн" юскю услюпю";85.11;нАПЮГНБЮМХЕ ДНЬЙНКЭМНЕ
